Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
48792	Ph.D. Independent Study	0-99	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Abdul-Aziz
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Carter
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Hartkopf
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Oppenheim
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Folan
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Lam
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Gross
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Akin
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Krishnamurti
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Lee
 	 	 	V	TBA			TBA	Pittsburgh, Pennsylvania	Loftness
 	 	 	X	TBA			TBA	Pittsburgh, Pennsylvania	Clifford
48793	Ph.D. Thesis	36.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
48795	LEED, Green Design and Building Rating in Global Context	6.0	A1	TR	10:30AM	11:50AM	MM 415IW	Pittsburgh, Pennsylvania	Baird
 	 	 	A2	TR	03:00PM	04:20PM	MM 415IW	Pittsburgh, Pennsylvania	Baird
48797	PhD Dissertation Defense	5.0,36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
Art	 	 	 	 	 	 	 	 	 	 
60050	Study Abroad	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60101	Concept Studio: The Self and the Human Being	10.0	A	MW	08:30AM	11:20AM	DH B305	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	01:30PM	04:20PM	CFA 310	Pittsburgh, Pennsylvania	Johnson
