Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
 	 	 	P	TBA			TBA	Pittsburgh, Pennsylvania	Zollman
 	 	 	Q	TBA			TBA	Pittsburgh, Pennsylvania	Simons
80991	Masters Research	5-18,24	A	TBA			TBA	Pittsburgh, Pennsylvania	Sieg
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	London
 	 	 	C	TBA			TBA	Pittsburgh, Pennsylvania	Cavalier
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Zollman
 	 	 	E	TBA			TBA	Pittsburgh, Pennsylvania	Glymour
 	 	 	F	TBA			TBA	Pittsburgh, Pennsylvania	Danks
 	 	 	G	TBA			TBA	Pittsburgh, Pennsylvania	Kelly
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Scheines
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Seidenfeld
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Sieg
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Spirtes
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Awodey
 	 	 	N	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Avigad
 	 	 	P	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Simons
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
80992	Directed Reading	3,6,12,15	A	TBA			TBA	Pittsburgh, Pennsylvania	Ramsey
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Danks
 	 	 	C	TBA			TBA	Pittsburgh, Pennsylvania	Cavalier
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TBA			TBA	Pittsburgh, Pennsylvania	Glymour
 	 	 	F	TBA			TBA	Pittsburgh, Pennsylvania	Harrell
 	 	 	G	TBA			TBA	Pittsburgh, Pennsylvania	Kelly
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Scheines
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Seidenfeld
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Sieg
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Spirtes
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Awodey
 	 	 	N	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Avigad
 	 	 	P	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Simons
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Zollman
80993	PH.D. Thesis	5-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Harrell
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Danks
 	 	 	C	TBA			TBA	Pittsburgh, Pennsylvania	Cavalier
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TBA			TBA	Pittsburgh, Pennsylvania	Glymour
 	 	 	F	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	TBA			TBA	Pittsburgh, Pennsylvania	Kelly
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Scheines
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Seidenfeld
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Sieg
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Spirtes
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Awodey
 	 	 	N	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Avigad
 	 	 	P	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Q	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Simons
 	 	 	T	TBA			TBA	Pittsburgh, Pennsylvania	London
80994	Directed Research	5-36	C	TBA			TBA	Pittsburgh, Pennsylvania	Kelly
80995	Seminar Supplement	1-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Danks
80999	Philosophy Colloquium	1-24	A	R	04:30PM	06:20PM	BH A53	Pittsburgh, Pennsylvania	Instructor TBA
Physical Education	 	 	 	 	 	 	 	 	 	 
69001	Fitness Instructor Training	3.0	A1	MWF	02:30PM	03:20PM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69003	Play CMU	3.0	A1	MWF	01:30PM	02:20PM	UC ACT RM	Pittsburgh, Pennsylvania	Menhorn
 	 	 	A2	MWF	01:30PM	02:20PM	UC ACT RM	Pittsburgh, Pennsylvania	London
69004	Badminton	3.0	A2	TR	10:00AM	11:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69101	Racquetball	3.0	B1	MWF	10:30AM	11:20AM	UC RB CTS	Pittsburgh, Pennsylvania	Garcia
 	 	 	D1	TR	10:30AM	11:50AM	UC RB CTS	Pittsburgh, Pennsylvania	Lackner
69102	Weight Training	3.0	A1	MWF	10:30AM	11:20AM	GYM WR	Pittsburgh, Pennsylvania	Aldrich
 	 	 	B1	TR	01:30PM	02:50PM	GYM WR	Pittsburgh, Pennsylvania	Degennaro
69110	Personal Fitness	3.0	A1	MWF	08:30AM	09:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69112	Fitness Fusion	3.0	A1	MWF	09:30AM	10:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Alosa
 	 	 	A2	MWF	09:30AM	10:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Agnew
69113	Beginning Karate	3.0	A1	TR	12:30PM	01:50PM	GYM ARENA	Pittsburgh, Pennsylvania	Gauntner
69114	Intermediate Karate	3.0	A2	TR	12:30PM	01:50PM	GYM ARENA	Pittsburgh, Pennsylvania	Gauntner
69129	Rape Agression Defense Systems (RAD)	3.0	A1	TR	09:00AM	10:20AM	WEH 8427	Pittsburgh, Pennsylvania	Bernarding
 	 	 	 	TR	09:00AM	10:20AM	GYM MGYM	Pittsburgh, Pennsylvania
 	 	 	A2	TR	09:00AM	10:20AM	WEH 8427	Pittsburgh, Pennsylvania	Bernarding
 	 	 	 	TR	09:00AM	10:20AM	GYM MGYM	Pittsburgh, Pennsylvania
69130	Beginning Tennis	3.0	A1	TR	10:30AM	11:50AM	GYM TC	Pittsburgh, Pennsylvania	Menhorn
69131	Volleyball	3.0	A2	MW	02:30PM	03:20PM	GYM MGYM	Pittsburgh, Pennsylvania	Kelly
69132	Advanced Tennis	3.0	B1	TR	09:00AM	10:20AM	GYM TC	Pittsburgh, Pennsylvania	Girard
69134	Beginning Golf	3.0	A1	MWF	10:30AM	11:20AM	GYM ARENA	Pittsburgh, Pennsylvania	Erdelyi
69136	Basketball Skills	3.0	A1	MW	02:30PM	03:20PM	GYM MGYM	Pittsburgh, Pennsylvania	Hullah
 	 	 	A2	MWF	01:30PM	02:20PM	GYM MGYM	Pittsburgh, Pennsylvania	Menhorn
69137	Ultimate Frisbee	3.0	A1	TR	01:30PM	02:50PM	GES STDM	Pittsburgh, Pennsylvania	Kelly
69138	Outdoor Soccer	3.0	A1	TR	01:30PM	02:50PM	GES STDM	Pittsburgh, Pennsylvania	Struble
69140	Squash	3.0	A2	MWF	01:30PM	02:20PM	UC SQ CTS	Pittsburgh, Pennsylvania	Belmonte
69146	Team Handball	3.0	A2	MWF	01:30PM	02:20PM	GYM ARENA	Pittsburgh, Pennsylvania	Piranian
69150	Beginning Swimming	3.0	A1	MWF	10:30AM	11:20AM	UC POOL	Pittsburgh, Pennsylvania	Ayres
69151	Introduction to Yoga	3.0	A1	TR	01:30PM	02:50PM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
 	 	 	A2	TR	01:30PM	02:50PM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
 	 	 	B1	MWF	01:30PM	02:20PM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
 	 	 	B2	MWF	01:30PM	02:20PM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69155	Cardio Fitness/Sculpt	3.0	A1	MWF	10:30AM	11:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69157	Swimming Stroke Improvement	3.0	A1	MWF	10:30AM	11:20AM	UC POOL	Pittsburgh, Pennsylvania	Kinney
69159	Water Fitness	2.0	A1	MW	01:30PM	02:20PM	UC POOL	Pittsburgh, Pennsylvania	Heagy
69160	Swim-Fit	3.0	A1	MWF	01:30PM	02:20PM	UC POOL	Pittsburgh, Pennsylvania	Gauntner
 	 	 	A2	TR	01:30PM	02:50PM	UC POOL	Pittsburgh, Pennsylvania	Menhorn
 	 	 	B2	MWF	10:30AM	11:20AM	UC POOL	Pittsburgh, Pennsylvania	Kinney
69165	Cycling Core	3.0	A2	MWF	10:30AM	11:20AM	UC ACT RM	Pittsburgh, Pennsylvania	Stragar
69175	African-Caribbean Dance	2.0	A2	TR	09:00AM	09:50AM	UC ACT RM	Pittsburgh, Pennsylvania	Heagy
69176	Non-Majors Jazz	3.0	A1	TR	12:00PM	01:20PM	GYM SGYM	Pittsburgh, Pennsylvania	Darr
69194	Emergency Medical Responder	6.0	A2	TR	06:30PM	10:20PM	DH 1211	Pittsburgh, Pennsylvania	Gauntner, Cooper
 	 	 	 	TR	06:30PM	10:20PM	DH 1212	Pittsburgh, Pennsylvania	 
 	 	 	 	TR	06:30PM	10:20PM	DH 1217	Pittsburgh, Pennsylvania	 
Physics	 	 	 	 	 	 	 	 	 	 
33050	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33100	Basic Experimental Physics	6.0	Lec 1	F	01:30PM	02:20PM	DH A331	Pittsburgh, Pennsylvania	Luokkala
 	 	 	A	F	02:30PM	04:20PM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	R	06:30PM	07:20PM	DH A331	Pittsburgh, Pennsylvania	Anderson
 	 	 	B	R	06:30PM	09:20PM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
33101	First Year Seminar:	3.0	 	 	 	 	 	 
 	Science and Science Fiction	 	A2	R	02:30PM	04:20PM	DH A301C	Pittsburgh, Pennsylvania	Luokkala
33104	Experimental Physics	9.0	Lec 1	MW	01:30PM	02:20PM	DH A331	Pittsburgh, Pennsylvania	Luokkala
 	 	 	A	MW	02:30PM	04:20PM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	TR	09:00AM	09:50AM	DH A331	Pittsburgh, Pennsylvania	Luokkala
 	 	 	B	TR	10:00AM	11:50AM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 3	TR	01:30PM	02:20PM	DH A331	Pittsburgh, Pennsylvania	Anderson
 	 	 	C	TR	02:30PM	04:20PM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 4	MW	06:30PM	07:20PM	DH A331	Pittsburgh, Pennsylvania	Walker
 	 	 	D	MW	07:30PM	09:20PM	DH A331	Pittsburgh, Pennsylvania	Instructor TBA
33106	Physics I for Engineering Students	12.0	Lec	MWF	09:30AM	10:20AM	DH 2210	Pittsburgh, Pennsylvania	Anderson, Trac
 	 	 	A	TR	08:30AM	09:20AM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	09:30AM	10:20AM	WEH 5320	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TR	09:30AM	10:20AM	DH 2105	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TR	09:30AM	10:20AM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TR	10:30AM	11:20AM	WEH 7316	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	TR	11:30AM	12:20PM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	H	TR	12:30PM	01:20PM	DH 2122	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TR	01:30PM	02:20PM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	J	TR	08:30AM	09:20AM	WEH 7316	Pittsburgh, Pennsylvania	Instructor TBA
33107	Physics II for Engineering Students	12.0	Lec	MWF	10:30AM	11:20AM	PH 100	Pittsburgh, Pennsylvania	Klein
 	 	 	A	TR	08:30AM	09:20AM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	09:30AM	10:20AM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TR	10:30AM	11:20AM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TR	11:30AM	12:20PM	DH 2105	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	TR	12:30PM	01:20PM	WEH 6423	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	TR	12:30PM	01:20PM	WEH 7316	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	H	TR	01:30PM	02:20PM	WEH 8427	Pittsburgh, Pennsylvania	Instructor TBA
33111	Physics I for Science Students	12.0	Lec	MWF	08:30AM	09:20AM	DH 2315	Pittsburgh, Pennsylvania	Garoff
 	 	 	A	TR	08:30AM	09:20AM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	09:30AM	10:20AM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TR	10:30AM	11:20AM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TR	11:30AM	12:20PM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TR	12:30PM	01:20PM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	TR	01:30PM	02:20PM	DH A301D	Pittsburgh, Pennsylvania	Instructor TBA
33112	Physics II for Science Students	12.0	Lec	MWF	09:30AM	10:20AM	WEH 5403	Pittsburgh, Pennsylvania	Ghosh
 	 	 	A	TR	08:30AM	09:20AM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	09:30AM	10:20AM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TR	10:30AM	11:20AM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
33115	Physics for Future Presidents	9.0	Lec	MWF	02:30PM	03:20PM	DH 1212	Pittsburgh, Pennsylvania	Vogel
 	 	 	A	R	11:30AM	12:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	R	12:30PM	01:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	R	01:30PM	02:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	R	02:30PM	03:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
33124	Introduction to Astronomy	9.0	Lec	MWF	01:30PM	02:20PM	BH A51	Pittsburgh, Pennsylvania	Croft
 	 	 	A	T	06:30PM	07:50PM	WEH 5202	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	T	06:30PM	07:50PM	WEH 5202	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	R	06:30PM	07:50PM	WEH 5202	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	R	06:30PM	07:50PM	WEH 5202	Pittsburgh, Pennsylvania	Instructor TBA
33131	Matter and Interaction I	12.0	Lec	MWF	09:30AM	10:20AM	WEH 5421	Pittsburgh, Pennsylvania	Ferguson
 	 	 	A	TR	08:30AM	09:20AM	DH A325	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TR	09:30AM	10:20AM	DH A325	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TR	10:30AM	11:20AM	DH A325	Pittsburgh, Pennsylvania	Instructor TBA
33201	Physics Sophomore Colloquium I	2.0	A	TR	10:30AM	11:20AM	DH 1212	Pittsburgh, Pennsylvania	Garoff, Ghosh
33211	Physics III: Modern Essentials	10.0	A	MWF	09:30AM	10:20AM	DH 1112	Pittsburgh, Pennsylvania	Vogel, Schumacher
 	 	 	 	T	09:30AM	10:20AM	DH 1212	Pittsburgh, Pennsylvania	 
33213	Mini-Course in Special Relativity	4.0	A1	MWF	09:30AM	10:20AM	DH 1112	Pittsburgh, Pennsylvania	Schumacher
 	 	 	 	T	09:30AM	10:20AM	DH 1212	Pittsburgh, Pennsylvania
33224	Stars, Galaxies and the Universe	9.0	Lec	MWF	03:30PM	04:20PM	WEH 5415	Pittsburgh, Pennsylvania	Peterson
 	 	 	A	T	06:30PM	07:20PM	DH 1112	Pittsburgh, Pennsylvania	Instructor TBA
33225	Quantum Physics and Structure of Matter	9.0	A	MWF	12:30PM	01:20PM	DH A301D	Pittsburgh, Pennsylvania	Suter
33231	Physical Analysis	10.0	A	MWF	11:30AM	12:20PM	DH 1112	Pittsburgh, Pennsylvania	Briere
 	 	 	 	R	09:30AM	10:20AM	DH 1212	Pittsburgh, Pennsylvania
33241	Introduction to Computational Physics	9.0	A	MWF	12:30PM	01:20PM	WEH 5312	Pittsburgh, Pennsylvania	Levine, Stone
33301	Physics Upperclass Colloquium I	1.0	A	R	10:30AM	11:20AM	DH 1212	Pittsburgh, Pennsylvania	Ghosh
33331	Physical Mechanics I	10.0	A	MWF	02:30PM	03:20PM	DH A301D	Pittsburgh, Pennsylvania	Quinn
 	 	 	 	T	08:30AM	09:20AM	WEH 5409	Pittsburgh, Pennsylvania
33338	Intermediate Electricity and Magnetism I	10.0	A	MWF	10:30AM	11:20AM	DH A301D	Pittsburgh, Pennsylvania	Morningstar
 	 	 	 	R	08:30AM	09:20AM	WEH 5409	Pittsburgh, Pennsylvania
33341	Thermal Physics I	10.0	A	MWF	01:30PM	02:20PM	DH A301D	Pittsburgh, Pennsylvania	Evilevitch
 	 	 	 	T	12:00PM	01:20PM	WEH 5409	Pittsburgh, Pennsylvania
33350	Undergraduate Research	1-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Ghosh
33353	Intermediate Optics:	12.0	 	 	 	 	 	 
 	TBA	 	A	T	09:00AM	11:50AM	DH A324	Pittsburgh, Pennsylvania	Feenstra
33441	Introduction to BioPhysics	10.0	A	TR	03:00PM	04:20PM	WEH 5304	Pittsburgh, Pennsylvania	Loesche
33445	Adv Quantum Physics I	9.0	A	MWF	09:30AM	10:20AM	DH A200	Pittsburgh, Pennsylvania	Mandelbaum
33451	Senior Research	0-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Ghosh
33467	Astrophysics of Stars and the Galaxy	9.0	A	TR	01:30PM	02:50PM	WEH 7316	Pittsburgh, Pennsylvania	Ho
33499	Supervised Reading	1-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Ghosh
33608	Special Topics in Computational Physics:	9.0	 	 	 	 	 	 
 	Computer Simulations in Phyics	 	A	R	03:30PM	04:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
33650	General Relativity	9.0	A	MWF	12:30PM	01:20PM	DH A200	Pittsburgh, Pennsylvania	Di Matteo
33755	Quantum Mechanics I	12.0	A	MWF	09:30AM	10:20AM	WEH 7316	Pittsburgh, Pennsylvania	Franklin
 	 	 	 	F	03:30PM	04:20PM	WEH 7316	Pittsburgh, Pennsylvania
33759	Introduction to Mathematical Physics I	12.0	A	MWF	12:30PM	01:20PM	WEH 7316	Pittsburgh, Pennsylvania	Paulini
 	 	 	 	W	03:30PM	04:20PM	WEH 7316	Pittsburgh, Pennsylvania
33761	Classical Electrodynamics I	12.0	A	MWF	10:30AM	11:20AM	WEH 7316	Pittsburgh, Pennsylvania	Russ
 	 	 	 	M	03:30PM	04:20PM	WEH 7316	Pittsburgh, Pennsylvania
33766	Special Topics in Statistical Mechanics:	9.0	 	 	 	 	 	 
 	Computer Simulations in Phyiscs	 	A	MWF	03:30PM	04:20PM	DH A200	Pittsburgh, Pennsylvania	Instructor TBA
33770	Field Theory I	12.0	A	MWF	11:30AM	12:20PM	WEH 7316	Pittsburgh, Pennsylvania	Instructor TBA
33775	Introduction to Research 1	2.0	A	T	03:30PM	05:20PM	WEH 7316	Pittsburgh, Pennsylvania	Paulini
33779	Introduction to Nuclear and Particle Physics	12.0	A	MWF	02:30PM	03:20PM	WEH 7316	Pittsburgh, Pennsylvania	Rothstein
33783	Solid State Physics	12.0	A	MWF	01:30PM	02:20PM	WEH 7316	Pittsburgh, Pennsylvania	Majetich
33794	Colloquium	1.0	A	M	04:30PM	05:50PM	WEH 7500	Pittsburgh, Pennsylvania	Paulini
33889	Supervised Reading in Computational Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33892	Supervised Reading Astrophysics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33893	Supervised Reading in Nuclear Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33894	Supervised Reading in Particle Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33895	Supervised Reading in Condensed Matter Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33896	Supervised Reading in Mathematical Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33897	Supervised Reading in Classical Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33898	Supervised Reading in Quantum Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
33996	Practicum in Physics	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Paulini
33997	Graduate Laboratory	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Paulini
33998	Thesis Research	1-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Paulini
Psychology	 	 	 	 	 	 	 	 	 	 
85050	Study Abroad	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Boyd
85102	Introduction to Psychology	9.0	Lec	TR	01:30PM	02:50PM	DH 2210	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	A	W	09:30AM	10:20AM	SH 222	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	B	W	10:30AM	11:20AM	BH 342E	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	C	W	11:30AM	12:20PM	GHC 4211	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	D	W	11:30AM	12:20PM	PH 226B	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	E	W	09:30AM	10:20AM	BH 336B	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	F	W	12:30PM	01:20PM	PH 226B	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	G	W	10:30AM	11:20AM	PH 225B	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	H	W	01:30PM	02:20PM	PH A19	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	I	W	01:30PM	02:20PM	DH 2105	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	J	W	02:30PM	03:20PM	DH 2105	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	K	W	03:30PM	04:20PM	WEH 8427	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	L	W	03:30PM	04:20PM	PH A19D	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	M	W	03:30PM	04:20PM	CFA 102	Pittsburgh, Pennsylvania	Kotovsky
 	 	 	N	W	06:30PM	07:20PM	PH 226B	Pittsburgh, Pennsylvania	Kotovsky
85122	Freshman Seminar: The Psychology of Scientific Thinking	9.0	A	TR	10:30AM	11:50AM	BH 340A	Pittsburgh, Pennsylvania	Klahr
85198	Research Training: Psychology	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Helgeson
 	 	 	I	TBA			DNM DNM	Pittsburgh, Pennsylvania	Holt
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Heller
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Thiessen
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Siegler
 	 	 	M	TBA			DNM DNM	Pittsburgh, Pennsylvania	Feeney
 	 	 	N	TBA			DNM DNM	Pittsburgh, Pennsylvania	Kemp
85211	Cognitive Psychology	9.0	A	TR	10:30AM	11:50AM	GHC 4401	Pittsburgh, Pennsylvania	Heller
85213	Human Information Processing and Artifical Intelligence	9.0	A	MWF	10:30AM	11:20AM	WEH 8427	Pittsburgh, Pennsylvania	Anderson
85219	Biological Foundations of Behavior	9.0	A	TR	03:00PM	04:20PM	BH 136A	Pittsburgh, Pennsylvania	Holt
85221	Principles of Child Development	9.0	A	TR	01:30PM	02:50PM	DH A302	Pittsburgh, Pennsylvania	Rakison
85241	Social Psychology	9.0	A	TR	12:00PM	01:20PM	PH 100	Pittsburgh, Pennsylvania	Boyd
 	 	 	W	UTR	03:00PM	03:50PM	TBA	Doha, Qatar	Instructor TBA
85251	Personality	9.0	A	TR	03:00PM	04:20PM	PH 100	Pittsburgh, Pennsylvania	Williams
85261	Abnormal Psychology	9.0	A	TR	10:30AM	11:50AM	BH 136A	Pittsburgh, Pennsylvania	Creswell
85281	Introduction to Clinical Psychology	9.0	A	TR	12:00PM	01:20PM	WEH 5304	Pittsburgh, Pennsylvania	Christiano
85310	Research Methods in Cognitive Psychology	9.0	A	MW	10:30AM	11:50AM	BH 340A	Pittsburgh, Pennsylvania	Thiessen
 	 	 	B	TR	03:00PM	04:20PM	BH 340A	Pittsburgh, Pennsylvania	Instructor TBA
85320	Research Methods in Developmental Psychology	9.0	A	MW	03:00PM	04:20PM	BH 336B	Pittsburgh, Pennsylvania	Fisher
 	 	 	B	TR	03:00PM	04:20PM	BH 340A	Pittsburgh, Pennsylvania	Instructor TBA
85340	Research Methods in Social Psychology	9.0	A	MW	01:30PM	02:50PM	BH 340A	Pittsburgh, Pennsylvania	Creswell
 	 	 	B	MW	10:30AM	11:50AM	GHC 4301	Pittsburgh, Pennsylvania	Instructor TBA
85341	Organizational Communication	9.0	A	TR	09:00AM	10:20AM	PH 125B	Pittsburgh, Pennsylvania	Instructor TBA
85370	Perception	9.0	A	TR	09:00AM	10:20AM	BH 336B	Pittsburgh, Pennsylvania	Klatzky
85377	Attitudes and Persuasion	9.0	A	TR	10:30AM	11:50AM	BH 336B	Pittsburgh, Pennsylvania	Boyd
85390	Human Memory	9.0	A	TR	01:30PM	02:50PM	BH 336B	Pittsburgh, Pennsylvania	Reder
85406	Autism: Psychological and Neuroscience Perspectives	9.0	A	T	07:00PM	09:50PM	BH 336B	Pittsburgh, Pennsylvania	Just
85423	Cognitive Development	9.0	A	TR	01:30PM	02:50PM	BH 342E	Pittsburgh, Pennsylvania	Siegler
85438	Educational Goals, Instruction, and Assessment	9.0	A	TR	04:30PM	05:50PM	BH 340A	Pittsburgh, Pennsylvania	Carver
85442	Health Psychology	9.0	A	MW	03:00PM	04:20PM	BH 340A	Pittsburgh, Pennsylvania	Cohen
 	 	 	W	UT	04:30PM	05:50PM	TBA	Doha, Qatar	Instructor TBA
85444	Relationships	9.0	A	TR	01:30PM	02:50PM	BH 340A	Pittsburgh, Pennsylvania	Feeney
