Run Date: 27-apr-2014 
Semester: Spring 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
60404	BHA, BSA, and BCSA Senior Studio	10.0	A	TR	01:30PM	04:20PM	CFA 303	Pittsburgh, Pennsylvania	Bingham, Silver, Beck, Stigliani
60407	Sound Material, Sound Art	10.0	A	MW	12:30PM	03:20PM	CFA 323	Pittsburgh, Pennsylvania	Aresty
 	 	 	 	M	01:30PM	03:20PM	CFA 111	Pittsburgh, Pennsylvania
 	 	 	 	W	12:30PM	03:20PM	CFA 111	Pittsburgh, Pennsylvania
60412	Interactive Art and Computational Design	10.0	A	TR	08:30AM	11:20AM	CFA 111	Pittsburgh, Pennsylvania	Levin
60414	Advanced ETB: Animation Art and Technology	12.0	A	MW	01:30PM	04:20PM	CFA 303	Pittsburgh, Pennsylvania	Duesing, Hodgins
60416	Advanced ETB: Documentary Storytelling	10.0	A	TR	08:30AM	11:20AM	CFA 310	Pittsburgh, Pennsylvania	Pell
60426	Advanced ETB: 2D Animation	10.0	A	MW	06:30PM	09:20PM	CFA 318	Pittsburgh, Pennsylvania	Pedercini
60430	Advanced SIS: Open Sculpture	10.0	A	MW	01:30PM	04:20PM	DH B302	Pittsburgh, Pennsylvania	Bingham
60432	Advanced SIS: Special Topic:	10.0	 	 	 	 	 	 
 	Simulation and Perception	 	A	TR	08:30AM	11:20AM	DH D200	Pittsburgh, Pennsylvania	Reiman
60441	Advanced CP/SIS: Special Topic::	10.0	 	 	 	 	 	 
 	Urban Intervention	 	A	MW	06:30PM	09:20PM	DH D200	Pittsburgh, Pennsylvania	Momeni
60453	Advanced DP3: Painting	10.0	A	MW	08:30AM	11:20AM	CFA 4TH FL	Pittsburgh, Pennsylvania	Mandradjieff
60467	Advanced DP3: Printstallation	10.0	A	MW	01:30PM	04:20PM	DH C300	Pittsburgh, Pennsylvania	Moor
60469	Advanced DP3: Special Topics:	10.0	 	 	 	 	 	 
 	Drawing Hybrid Art Practice and the Inventive Mind	 	A	F	09:00AM	11:20AM	CFA 308	Pittsburgh, Pennsylvania	Wright
 	 	 	 	F	01:30PM	04:20PM	CFA 308	Pittsburgh, Pennsylvania
60474	Advanced DP3: Special Topic::	10.0	 	 	 	 	 	 
 	Bristle and Shutter	 	A	TR	01:30PM	04:20PM	CFA 308	Pittsburgh, Pennsylvania	Johnson
60480	Advanced CP: Special Topic:	10.0	 	 	 	 	 	 
 	The Amateur	 	A	MW	08:30AM	11:20AM	CFA 310	Pittsburgh, Pennsylvania	Rubin
60492	Inner Geographies	10.0	A	M	06:30PM	09:20PM	CFA 303	Pittsburgh, Pennsylvania	Maurides, Burgess
60499	Studio Independent Study	5-10	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
60590	Internship	1-9	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
60599	Exchange Independent Study	10-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
60701	M.F.A. Academic Seminar	12.0	A	W	06:30PM	09:20PM	CFA 310	Pittsburgh, Pennsylvania	Ragona
